# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1466
#@/user_id	79ab5cc6-16fb-466f-9b2a-142e70327c72
a5 	啊	c=4 d=2.69236 t=794
ai4 	唉	c=1 d=1 t=519
ai4 qing2 	愛情	c=1 d=1 t=595
ai4 shi4 	愛是	c=0 d=0.1 t=117
ai4 shu1 	愛書	c=0 d=0.1 t=727
ai4 shu1 shi4 	愛書是	c=1 d=1 t=728
an1 quan2 	安全	c=1 d=1 t=512
an4 jian4 	案件	c=1 d=1 t=1321
ba1 	吧	c=6 d=4.41137 t=795
ba1 shi4 	巴士	c=1 d=1 t=110
bai3 zhe5 	擺着	c=1 d=1 t=360
ban1 	搬	c=1 d=1 t=1184
ban3 ben3 	版本	c=1 d=1 t=7
ban4 fa3 	辦法	c=1 d=1 t=1255
ban4 sui2 	伴隨	c=1 d=1 t=213
ban4 tian1 	半天	c=1 d=1 t=789
bao3 chi2 	保持	c=1 d=1 t=1369
bao3 cun2 	保存	c=1 d=1 t=1267
bei4 	被	c=6 d=1.41963 t=1441
bei4 ren2 	被人	c=1 d=1 t=434
bei4 wo3 	被我	c=1 d=1 t=909
bei4 zi5 	被子	c=1 d=1 t=299
ben3 	本	c=1 d=1 t=1178
ben3 shen1 	本身	c=1 d=1 t=1246
bi3 shi4 	鄙視	c=1 d=1 t=815
bi4 xu1 	必須	c=1 d=1 t=1242
bi4 ye4 	畢業	c=1 d=1 t=1435
bian4 	便	c=1 d=1 t=257
bian4 cheng2 	變成	c=3 d=1.05047 t=1264
bian4 de5 	變得	c=1 d=1 t=1010
biao3 yan3 	表演	c=1 d=1 t=1398
bie2 ren2 	別人	c=2 d=1.956 t=444
bing4 	並	c=1 d=1 t=388
bing4 	病	c=1 d=1 t=546
bing4 bu4 	並不	c=0 d=0.1 t=391
bing4 bu4 jue2 de5 	並不覺得	c=1 d=1 t=392
bing4 bu4 shi4 	並不是	c=2 d=1.44043 t=585
bo2 	駁	c=1 d=1 t=521
bu2 jian4 	不見	c=1 d=1 t=933
bu2 shi4 	不是	c=1 d=1 t=820
bu2 yao4 	不要	c=2 d=1.97045 t=447
bu4 	不	c=3 d=1.01253 t=1418
bu4 ceng2 	不曾	c=2 d=1.04596 t=885
bu4 cuo4 	不錯	c=2 d=1.25924 t=796
bu4 fen4 	部分	c=2 d=1.91393 t=1423
bu4 guo4 	不過	c=2 d=1.04036 t=930
bu4 jin3 	不僅	c=1 d=1 t=277
bu4 ke3 yi3 	不可以	c=3 d=2.92669 t=846
bu4 qu4 	不去	c=1 d=1 t=428
bu4 ren3 xin1 	不忍心	c=1 d=1 t=707
bu4 shang4 	不上	c=1 d=1 t=1185
bu4 shao3 	不少	c=1 d=1 t=531
bu4 shi4 	不適	c=2 d=1.02901 t=819
